Application No,Token Fee
HITS/2020/B.SC/203467,50000
HITS/2020/B.SC/203465,50000
HITS/2020/B.COM/203462,50000
HITS/2020/B.SC/203460,50000
HITS/2020/BA/203455,50000
HITS/2020/B.SC/203450,50000
HITS/2020/BA/203449,50000
HITS/2020/B.SC/203444,50000
HITS/2020/B.COM/203443,50000
HITS/2020/B.SC/203441,50000
HITS/2020/B.SC/203437,50000
HITS/2020/B.SC/203436,50000
HITS/2020/B.COM/203421,50000
HITS/2020/BBA/203420,50000
HITS/2020/BCA/203419,50000
HITS/2020/B.SC/203417,50000
HITS/2020/BA/203410,50000
HITS/2020/BCA/203409,50000
HITS/2020/B.SC/203407,50000
HITS/2020/B.SC/203404,50000
HITS/2020/B.SC/203397,50000
HITS/2020/BA/203396,50000
HITS/2020/BCA/203395,50000
HITS/2020/B.SC/203393,50000
HITS/2020/BA/203391,50000
HITS/2020/BA/203390,50000
HITS/2020/B.COM/203388,50000
HITS/2020/BBA/203387,50000
HITS/2020/B.SC/203386,50000
HITS/2020/BA/203382,50000
HITS/2020/B.SC/203381,50000
HITS/2020/BBA/203380,50000
HITS/2020/BBA/203378,50000
HITS/2020/B.SC/203375,50000
HITS/2020/BA/203374,50000
HITS/2020/B.COM/203369,50000
HITS/2020/BBA/203364,50000
HITS/2020/B.SC/203363,50000
HITS/2020/BBA/203361,50000
HITS/2020/BCA/203356,50000
HITS/2020/BA/203355,50000
HITS/2020/BBA/203354,50000
HITS/2020/BA/203353,50000
HITS/2020/BA/203351,50000
HITS/2020/B.SC/203347,50000
HITS/2020/B.COM/203346,50000
HITS/2020/BBA/203345,50000
HITS/2020/B.SC/203344,50000
HITS/2020/BA/203343,50000
HITS/2020/BCA/203336,50000
HITS/2020/B.SC/203333,50000
HITS/2020/BBA/203331,50000
HITS/2020/BCA/203330,50000
HITS/2020/BCA/203326,50000
HITS/2020/BBA/203324,50000
HITS/2020/B.SC/203321,50000
HITS/2020/BBA/203318,50000
HITS/2020/B.COM/203317,50000
HITS/2020/B.COM/203316,50000
HITS/2020/B.SC/203314,50000
HITS/2020/B.COM/203306,50000
HITS/2020/B.SC/203304,50000
HITS/2020/B.COM/203302,50000
HITS/2020/BBA/203299,50000
HITS/2020/BA/203294,50000
HITS/2020/BBA/203293,50000
HITS/2020/B.COM/203282,50000
HITS/2020/B.SC/203279,50000
HITS/2020/BCA/203272,50000
HITS/2020/B.SC/203269,50000
HITS/2020/BBA/203267,50000
HITS/2020/BBA/203258,50000
HITS/2020/B.SC/203257,50000
HITS/2020/B.COM/203241,50000
HITS/2020/B.COM/203238,50000
HITS/2020/B.SC/203237,50000
HITS/2020/B.SC/203236,50000
HITS/2020/BCA/203235,50000
HITS/2020/BBA/203233,50000
HITS/2020/B.SC/203228,50000
HITS/2020/BBA/203227,50000
HITS/2020/B.COM/203224,50000
HITS/2020/BA/203221,50000
HITS/2020/B.SC/203217,50000
HITS/2020/B.SC/203214,50000
HITS/2020/BBA/203213,50000
HITS/2020/BA/203208,50000
HITS/2020/BCA/203206,50000
HITS/2020/BA/203199,50000
HITS/2020/B.SC/203193,50000
HITS/2020/BA/203188,50000
HITS/2020/B.SC/203187,50000
HITS/2020/B.COM/203186,50000
HITS/2020/BA/203181,50000
HITS/2020/B.SC/203178,50000
HITS/2020/B.SC/203173,50000
HITS/2020/BCA/203171,50000
HITS/2020/BA/203170,50000
HITS/2020/B.SC/203166,50000
HITS/2020/BA/203163,50000
HITS/2020/B.COM/203162,50000
HITS/2020/B.SC/203160,50000
HITS/2020/B.SC/203158,50000
HITS/2020/BBA/203157,50000
HITS/2020/B.SC/203154,50000
HITS/2020/BA/203153,50000
HITS/2020/BA/203148,50000
HITS/2020/BBA/203144,50000
HITS/2020/BA/203138,50000
HITS/2020/B.COM/203128,50000
HITS/2020/B.SC/203121,50000
HITS/2020/BBA/203117,50000
HITS/2020/B.COM/203116,50000
HITS/2020/B.SC/203112,50000
HITS/2020/B.COM/203111,50000
HITS/2020/BCA/203102,50000
HITS/2020/BCA/203095,50000
HITS/2020/BA/203094,50000
HITS/2020/BBA/203090,50000
HITS/2020/B.COM/203086,50000
HITS/2020/B.SC/203084,50000
HITS/2020/BBA/203080,50000
HITS/2020/BBA/203075,50000
HITS/2020/B.SC/203073,50000
HITS/2020/BBA/203072,50000
HITS/2020/BBA/203064,50000
HITS/2020/B.COM/203062,50000
HITS/2020/B.COM/203061,50000
HITS/2020/B.COM/203060,50000
HITS/2020/BCA/203057,50000
HITS/2020/BCA/203053,50000
HITS/2020/B.SC/203049,50000
HITS/2020/BA/203048,50000
HITS/2020/B.SC/203047,50000
HITS/2020/BCA/203044,50000
HITS/2020/BA/203039,50000
HITS/2020/BCA/203038,50000
HITS/2020/BA/203036,50000
HITS/2020/B.SC/203034,50000
HITS/2020/BBA/203032,50000
HITS/2020/BA/203028,50000
HITS/2020/BA/203027,50000
HITS/2020/B.COM/203026,50000
HITS/2020/B.SC/203024,50000
HITS/2020/B.COM/203023,50000
HITS/2020/BBA/203021,50000
HITS/2020/B.SC/203019,50000
HITS/2020/BBA/203018,50000
HITS/2020/BBA/203011,50000
HITS/2020/B.COM/203010,50000
HITS/2020/BBA/203009,50000
HITS/2020/BCA/203007,50000
HITS/2020/BA/203006,50000
HITS/2020/B.COM/202999,50000
HITS/2020/B.COM/202995,50000
HITS/2020/BA/202993,50000
HITS/2020/B.SC/202992,50000
HITS/2020/BA/202991,50000
HITS/2020/B.SC/202990,50000
HITS/2020/BA/202988,50000
HITS/2020/B.SC/202982,50000
HITS/2020/BBA/202981,50000
HITS/2020/BA/202980,50000
HITS/2020/BA/202975,50000
HITS/2020/B.COM/202974,50000
HITS/2020/B.COM/202971,50000
HITS/2020/BCA/202967,50000
HITS/2020/BBA/202964,50000
HITS/2020/B.SC/202963,50000
HITS/2020/B.SC/202954,50000
HITS/2020/BA/202953,50000
HITS/2020/BBA/202950,50000
HITS/2020/B.SC/202947,50000
HITS/2020/B.SC/202944,50000
HITS/2020/B.SC/202940,50000
HITS/2020/B.SC/202937,50000
HITS/2020/B.SC/202935,50000
HITS/2020/B.COM/202932,50000
HITS/2020/B.SC/202926,50000
HITS/2020/BBA/202922,50000
HITS/2020/BBA/202917,50000
HITS/2020/BBA/202914,50000
HITS/2020/BBA/202912,50000
HITS/2020/BBA/202911,50000
HITS/2020/BCA/202909,50000
HITS/2020/B.COM/202905,50000
HITS/2020/BCA/202899,50000
HITS/2020/BCA/202893,50000
HITS/2020/BCA/202890,50000
HITS/2020/BBA/202886,50000
HITS/2020/BBA/202883,50000
HITS/2020/B.SC/202882,50000
HITS/2020/BCA/202879,50000
HITS/2020/BA/202878,50000
HITS/2020/B.SC/202877,50000
HITS/2020/B.COM/202876,50000
HITS/2020/B.SC/202875,50000
HITS/2020/B.SC/202873,50000
HITS/2020/B.COM/202871,50000
HITS/2020/BBA/202869,50000
HITS/2020/B.COM/202867,50000
HITS/2020/BCA/202860,50000
HITS/2020/BBA/202859,50000
HITS/2020/B.COM/202858,50000
HITS/2020/BA/202847,50000
HITS/2020/B.SC/202846,50000
HITS/2020/BBA/202845,50000
HITS/2020/BA/202844,50000
HITS/2020/BBA/202842,50000
HITS/2020/B.COM/202841,50000
HITS/2020/B.COM/202829,50000
HITS/2020/B.SC/202825,50000
HITS/2020/BCA/202823,50000
HITS/2020/BA/202821,50000
HITS/2020/BCA/202818,50000
HITS/2020/B.SC/202810,50000
HITS/2020/B.SC/202809,50000
HITS/2020/BBA/202807,50000
HITS/2020/B.SC/202804,50000
HITS/2020/BBA/202800,50000
HITS/2020/BBA/202799,50000
HITS/2020/B.COM/202798,50000
HITS/2020/BCA/202797,50000
HITS/2020/BBA/202796,50000
HITS/2020/B.COM/202794,50000
HITS/2020/B.SC/202792,50000
HITS/2020/BA/202791,50000
HITS/2020/B.SC/202787,50000
HITS/2020/B.SC/202785,50000
HITS/2020/BCA/202783,50000
HITS/2020/B.SC/202782,50000
HITS/2020/BCA/202779,50000
HITS/2020/B.COM/202772,50000
HITS/2020/BCA/202771,50000
HITS/2020/BBA/202770,50000
HITS/2020/BCA/202762,50000
HITS/2020/BCA/202761,50000
HITS/2020/B.SC/202758,50000
HITS/2020/BCA/202757,50000
HITS/2020/B.COM/202755,50000
HITS/2020/BCA/202751,50000
HITS/2020/BCA/202750,50000
HITS/2020/BA/202748,50000
HITS/2020/B.COM/202745,50000
HITS/2020/B.SC/202744,50000
HITS/2020/BBA/202738,50000
HITS/2020/BCA/202737,50000
HITS/2020/B.COM/202736,50000
HITS/2020/B.SC/202735,50000
HITS/2020/B.COM/202734,50000
HITS/2020/BBA/202733,50000
HITS/2020/B.SC/202731,50000
HITS/2020/B.SC/202729,50000
HITS/2020/B.SC/202728,50000
HITS/2020/BA/202727,50000
HITS/2020/BCA/202723,50000
HITS/2020/B.SC/202722,50000
HITS/2020/B.SC/202715,50000
HITS/2020/BA/202713,50000
HITS/2020/BA/202712,50000
HITS/2020/B.COM/202705,50000
HITS/2020/BCA/202703,50000
HITS/2020/BA/202699,50000
HITS/2020/BA/202698,50000
HITS/2020/BBA/202693,50000
HITS/2020/BBA/202692,50000
HITS/2020/BCA/202684,50000
HITS/2020/B.COM/202682,50000
HITS/2020/BBA/202679,50000
HITS/2020/B.SC/202678,50000
HITS/2020/BA/202675,50000
HITS/2020/BCA/202669,50000
HITS/2020/B.SC/202668,50000
HITS/2020/BBA/202667,50000
HITS/2020/BBA/202665,50000
HITS/2020/BBA/202664,50000
HITS/2020/BBA/202663,50000
HITS/2020/B.SC/202660,50000
HITS/2020/B.SC/202657,50000
HITS/2020/BBA/202656,50000
HITS/2020/B.COM/202655,50000
HITS/2020/B.SC/202653,50000
HITS/2020/BCA/202647,50000
HITS/2020/BCA/202644,50000
HITS/2020/BBA/202642,50000
HITS/2020/BBA/202639,50000
HITS/2020/B.SC/202638,50000
HITS/2020/B.COM/202637,50000
HITS/2020/BCA/202636,50000
HITS/2020/B.SC/202634,50000
HITS/2020/B.SC/202633,50000
HITS/2020/BCA/202631,50000
HITS/2020/B.SC/202630,50000
HITS/2020/B.COM/202628,50000
HITS/2020/BBA/202626,50000
HITS/2020/B.SC/202625,50000
HITS/2020/B.SC/202624,50000
HITS/2020/BCA/202622,50000
HITS/2020/B.SC/202619,50000
HITS/2020/B.COM/202617,50000
HITS/2020/BCA/202615,50000
HITS/2020/B.SC/202608,50000
HITS/2020/BCA/202606,50000
HITS/2020/BCA/202605,50000
HITS/2020/B.SC/202604,50000
HITS/2020/B.SC/202600,50000
HITS/2020/BBA/202592,50000
HITS/2020/BA/202589,50000
HITS/2020/B.SC/202582,50000
HITS/2020/BBA/202575,50000
HITS/2020/B.SC/202574,50000
HITS/2020/B.COM/202571,50000
HITS/2020/BA/202570,50000
HITS/2020/BCA/202569,50000
HITS/2020/BCA/202566,50000
HITS/2020/B.COM/202563,50000
HITS/2020/BA/202561,50000
HITS/2020/B.COM/202560,50000
HITS/2020/B.SC/202559,50000
HITS/2020/B.SC/202558,50000
HITS/2020/B.SC/202557,50000
HITS/2020/B.COM/202547,50000
HITS/2020/BA/202543,50000
HITS/2020/B.SC/202541,50000
HITS/2020/B.SC/202540,50000
HITS/2020/BBA/202539,50000
HITS/2020/B.SC/202534,50000
HITS/2020/B.SC/202531,50000
HITS/2020/BA/202526,50000
HITS/2020/BBA/202524,50000
HITS/2020/B.SC/202522,50000
HITS/2020/BBA/202519,50000
HITS/2020/BCA/202509,50000
HITS/2020/B.SC/202508,50000
HITS/2020/BCA/202500,50000
HITS/2020/BBA/202493,50000
HITS/2020/B.SC/202492,50000
HITS/2020/B.COM/202491,50000
HITS/2020/B.SC/202489,50000
HITS/2020/B.SC/202483,50000
HITS/2020/BA/202481,50000
HITS/2020/B.SC/202478,50000
HITS/2020/B.COM/202476,50000
HITS/2020/BA/202475,50000
HITS/2020/BBA/202474,50000
HITS/2020/BCA/202471,50000
HITS/2020/BA/202470,50000
HITS/2020/B.SC/202469,50000
HITS/2020/BCA/202467,50000
HITS/2020/B.SC/202466,50000
HITS/2020/BA/202463,50000
HITS/2020/BBA/202460,50000
HITS/2020/B.SC/202457,50000
HITS/2020/BBA/202455,50000
HITS/2020/BA/202454,50000
HITS/2020/BBA/202450,50000
HITS/2020/BBA/202449,50000
HITS/2020/B.SC/202448,50000
HITS/2020/BBA/202447,50000
HITS/2020/B.COM/202445,50000
HITS/2020/B.COM/202440,50000
HITS/2020/B.COM/202436,50000
HITS/2020/BCA/202433,50000
HITS/2020/BBA/202432,50000
HITS/2020/B.COM/202431,50000
HITS/2020/B.SC/202430,50000
HITS/2020/B.COM/202426,50000
HITS/2020/B.SC/202425,50000
HITS/2020/B.SC/202423,50000
HITS/2020/BCA/202416,50000
HITS/2020/BA/202412,50000
HITS/2020/B.SC/202408,50000
HITS/2020/BCA/202406,50000
HITS/2020/BCA/202407,50000
HITS/2020/BCA/202405,50000
HITS/2020/BA/202401,50000
HITS/2020/BCA/202400,50000
HITS/2020/B.SC/202396,50000
HITS/2020/B.SC/202394,50000
HITS/2020/B.SC/202391,50000
HITS/2020/B.SC/202389,50000
HITS/2020/BCA/202386,50000
HITS/2020/BA/202384,50000
HITS/2020/B.SC/202383,50000
HITS/2020/B.SC/202382,50000
HITS/2020/BCA/202381,50000
HITS/2020/B.COM/202376,50000
HITS/2020/B.SC/202375,50000
HITS/2020/B.COM/202369,50000
HITS/2020/B.SC/202368,50000
HITS/2020/BCA/202367,50000
HITS/2020/BBA/202365,50000
HITS/2020/BA/202362,50000
HITS/2020/BBA/202354,50000
HITS/2020/BA/202348,50000
HITS/2020/BA/202347,50000
HITS/2020/B.SC/202343,50000
HITS/2020/BBA/202338,50000
HITS/2020/BCA/202335,50000
HITS/2020/BA/202334,50000
HITS/2020/B.SC/202333,50000
HITS/2020/B.SC/202330,50000
HITS/2020/BBA/202328,50000
HITS/2020/BCA/202325,50000
HITS/2020/BBA/202324,50000
HITS/2020/BBA/202323,50000
HITS/2020/B.SC/202321,50000
HITS/2020/B.SC/202320,50000
HITS/2020/B.SC/202319,50000
HITS/2020/B.SC/202317,50000
HITS/2020/B.SC/202315,50000
HITS/2020/BA/202314,50000
HITS/2020/B.SC/202311,50000
HITS/2020/B.COM/202310,50000
HITS/2020/B.SC/202309,50000
HITS/2020/BCA/202301,50000
HITS/2020/BA/202294,50000
HITS/2020/BCA/202287,50000
HITS/2020/BCA/202285,50000
HITS/2020/BA/202282,50000
HITS/2020/BCA/202280,50000
HITS/2020/BBA/202279,50000
HITS/2020/BCA/202278,50000
HITS/2020/B.COM/202276,50000
HITS/2020/BBA/202274,50000
HITS/2020/BA/202275,50000
HITS/2020/B.COM/202271,50000
HITS/2020/B.COM/202270,50000
HITS/2020/BA/202268,50000
HITS/2020/BCA/202265,50000
HITS/2020/BBA/202260,50000
HITS/2020/B.COM/202251,50000
HITS/2020/BA/202250,50000
HITS/2020/B.COM/202246,50000
HITS/2020/B.COM/202245,50000
HITS/2020/BA/202241,50000
HITS/2020/BBA/202239,50000
HITS/2020/BCA/202238,50000
HITS/2020/B.COM/202237,50000
HITS/2020/B.COM/202233,50000
HITS/2020/B.COM/202232,50000
HITS/2020/B.COM/202229,50000
HITS/2020/BCA/202228,50000
HITS/2020/B.SC/202226,50000
HITS/2020/B.COM/202222,50000
HITS/2020/B.SC/202220,50000
HITS/2020/B.SC/202219,50000
HITS/2020/BA/202218,50000
HITS/2020/B.COM/202217,50000
HITS/2020/B.COM/202215,50000
HITS/2020/BBA/202214,50000
HITS/2020/B.SC/202213,50000
HITS/2020/BBA/202208,50000
HITS/2020/BBA/202203,50000
HITS/2020/B.COM/202201,50000
HITS/2020/BA/202200,50000
HITS/2020/BCA/202195,50000
HITS/2020/BA/202194,50000
HITS/2020/B.SC/202193,50000
HITS/2020/BBA/202188,50000
HITS/2020/B.COM/202187,50000
HITS/2020/BBA/202180,50000
HITS/2020/BCA/202179,50000
HITS/2020/B.SC/202177,50000
HITS/2020/BA/202175,50000
HITS/2020/B.SC/202174,50000
HITS/2020/B.SC/202173,50000
HITS/2020/BA/202168,50000
HITS/2020/BBA/202166,50000
HITS/2020/B.COM/202165,50000
HITS/2020/BBA/202163,50000
HITS/2020/BA/202159,50000
HITS/2020/BBA/202157,50000
HITS/2020/BBA/202148,50000
HITS/2020/B.SC/202147,50000
HITS/2020/BCA/202144,50000
HITS/2020/B.SC/202142,50000
HITS/2020/B.SC/202141,50000
HITS/2020/BA/202139,50000
HITS/2020/BA/202136,50000
HITS/2020/BBA/202132,50000
HITS/2020/BCA/202131,50000
HITS/2020/BBA/202125,50000
HITS/2020/B.COM/202124,50000
HITS/2020/B.COM/202118,50000
HITS/2020/BBA/202117,50000
HITS/2020/B.SC/202113,50000
HITS/2020/BBA/202112,50000
HITS/2020/BBA/202109,50000
HITS/2020/BA/202105,50000
HITS/2020/BA/202098,50000
HITS/2020/B.SC/202097,50000
HITS/2020/BBA/202092,50000
HITS/2020/BA/202089,50000
HITS/2020/B.SC/202083,50000
HITS/2020/B.SC/202080,50000
HITS/2020/BBA/202075,50000
HITS/2020/B.COM/202074,50000
HITS/2020/BBA/202073,50000
HITS/2020/BBA/202070,50000
HITS/2020/BCA/202068,50000
HITS/2020/BBA/202067,50000
HITS/2020/B.SC/202066,50000
HITS/2020/B.SC/202064,50000
HITS/2020/B.COM/202063,50000
HITS/2020/B.SC/202062,50000
HITS/2020/B.SC/202060,50000
HITS/2020/BBA/202057,50000
HITS/2020/B.SC/202048,50000
HITS/2020/B.SC/202044,50000
HITS/2020/B.SC/202026,50000
HITS/2020/BCA/202023,50000
HITS/2020/BBA/202021,50000
HITS/2020/B.COM/202020,50000
HITS/2020/B.SC/202019,50000
HITS/2020/BA/202018,50000
HITS/2020/B.SC/202012,50000
HITS/2020/B.COM/202006,50000
HITS/2020/BA/202005,50000
HITS/2020/BA/202001,50000
HITS/2020/B.SC/201999,50000
HITS/2020/BBA/201996,50000
HITS/2020/B.SC/201995,50000
HITS/2020/BA/201991,50000
HITS/2020/B.COM/201988,50000
HITS/2020/BA/201984,50000
HITS/2020/B.SC/201982,50000
HITS/2020/B.SC/201981,50000
HITS/2020/BA/201978,50000
HITS/2020/BBA/201972,50000
HITS/2020/BCA/201971,50000
HITS/2020/B.COM/201967,50000
HITS/2020/B.SC/201961,50000
HITS/2020/B.SC/201960,50000
HITS/2020/B.SC/201949,50000
HITS/2020/BBA/201941,50000
HITS/2020/BBA/201937,50000
HITS/2020/B.COM/201936,50000
HITS/2020/BBA/201926,50000
HITS/2020/BBA/201925,50000
HITS/2020/BBA/201922,50000
HITS/2020/BBA/201911,50000
HITS/2020/BA/201907,50000
HITS/2020/BCA/201906,50000
HITS/2020/BBA/201898,50000
HITS/2020/BA/201893,50000
HITS/2020/BBA/201892,50000
HITS/2020/BA/201886,50000
HITS/2020/B.SC/201885,50000
HITS/2020/B.SC/201880,50000
HITS/2020/B.SC/201878,50000
HITS/2020/B.COM/201858,50000
HITS/2020/BA/201856,50000
HITS/2020/B.COM/201854,50000
HITS/2020/BBA/201850,50000
HITS/2020/B.SC/201849,50000
HITS/2020/BBA/201827,50000
HITS/2020/B.SC/201810,50000
HITS/2020/BBA/201808,50000
HITS/2020/BA/201803,50000
HITS/2020/B.SC/201793,50000
HITS/2020/BCA/201787,50000
HITS/2020/B.SC/201786,50000
HITS/2020/B.SC/201784,50000
HITS/2020/B.SC/201781,50000
HITS/2020/BCA/201779,50000
HITS/2020/B.COM/201771,50000
HITS/2020/B.COM/201770,50000
HITS/2020/B.SC/201756,50000
HITS/2020/B.SC/201755,50000
HITS/2020/B.SC/201750,50000
HITS/2020/BBA/201742,50000
HITS/2020/B.COM/201741,50000
HITS/2020/B.SC/201737,50000
HITS/2020/BA/201724,50000
HITS/2020/BCA/201717,50000
HITS/2020/B.COM/201713,50000
HITS/2020/BBA/201711,50000
HITS/2020/BCA/201705,50000
HITS/2020/B.COM/201702,50000
HITS/2020/BA/201700,50000
HITS/2020/BA/201698,50000
HITS/2020/B.SC/201685,50000
HITS/2020/BBA/201681,50000
HITS/2020/BA/201672,50000
HITS/2020/BBA/201661,50000
HITS/2020/B.COM/201655,50000
HITS/2020/B.COM/201651,50000
HITS/2020/BBA/201640,50000
HITS/2020/B.COM/201632,50000
HITS/2020/BCA/201628,50000
HITS/2020/BBA/201627,50000
HITS/2020/BCA/201625,50000
HITS/2020/B.SC/201624,50000
HITS/2020/B.SC/201623,50000
HITS/2020/BBA/201621,50000
HITS/2020/BA/201614,50000
HITS/2020/B.SC/201612,50000
HITS/2020/BBA/201607,50000
HITS/2020/B.SC/201599,50000
HITS/2020/BA/201581,50000
HITS/2020/BA/201580,50000
HITS/2020/BA/201579,50000
HITS/2020/B.SC/201578,50000
HITS/2020/BBA/201576,50000
HITS/2020/BA/201572,50000
HITS/2020/BA/201568,50000
HITS/2020/BA/201565,50000
HITS/2020/B.SC/201563,50000
HITS/2020/B.COM/201560,50000
HITS/2020/B.SC/201558,50000
HITS/2020/BA/201531,50000
HITS/2020/BBA/201524,50000
HITS/2020/B.SC/201519,50000
HITS/2020/B.SC/201514,50000
HITS/2020/BA/201512,50000
HITS/2020/BBA/201508,50000
HITS/2020/BBA/201505,50000
HITS/2020/B.SC/201493,50000
HITS/2020/BCA/201484,50000
HITS/2020/BBA/201483,50000
HITS/2020/B.SC/201481,50000
HITS/2020/BA/201480,50000
HITS/2020/B.SC/201477,50000
